id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,CMA-1,CMA-2,CMA-3,CMA-4,CMA-5,TMA-1,TMA-2,TMA-3,TMA-4,TMA-5,TMA-6
23629,F,East Anglian Region,Lower Than A Level,20-30%,0-35,2,60,N,Fail,100.0,100.0,0.0,0.0,0.0,67.0,63.0,0.0,0.0,0.0,0.0
25107,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,120,N,Pass,100.0,100.0,100.0,100.0,100.0,59.0,60.0,63.0,53.0,61.0,55.0
27891,M,Scotland,Lower Than A Level,0-10%,0-35,2,120,Y,Withdrawn,100.0,60.0,60.0,0.0,0.0,73.0,67.0,55.0,0.0,0.0,0.0
29144,M,South Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail,100.0,100.0,60.0,80.0,0.0,60.0,55.0,70.0,72.0,62.0,0.0
31663,M,North Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,100.0,80.0,100.0,100.0,100.0,88.0,80.0,85.0,54.0,15.0,70.0
33666,F,London Region,A Level or Equivalent,10-20,0-35,1,60,N,Withdrawn,100.0,0.0,0.0,0.0,0.0,58.0,78.0,0.0,0.0,0.0,0.0
34229,F,Ireland,A Level or Equivalent,0-10%,35-55,2,120,N,Pass,100.0,100.0,0.0,100.0,100.0,73.0,83.0,72.0,0.0,82.0,82.0
34353,M,Scotland,A Level or Equivalent,70-80%,35-55,0,120,Y,Fail,100.0,100.0,100.0,100.0,100.0,95.0,73.0,0.0,90.0,75.0,73.0
34431,F,Yorkshire Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34694,M,West Midlands Region,A Level or Equivalent,10-20,35-55,1,60,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34756,F,East Midlands Region,Lower Than A Level,10-20,0-35,1,150,N,Withdrawn,80.0,0.0,0.0,0.0,0.0,71.0,51.0,0.0,0.0,0.0,0.0
34863,F,London Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,100.0,80.0,100.0,80.0,80.0,64.0,40.0,59.0,67.0,70.0,73.0
35812,F,East Anglian Region,Lower Than A Level,30-40%,0-35,0,60,N,Fail,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0
39655,F,Scotland,Lower Than A Level,50-60%,0-35,0,120,N,Distinction,80.0,80.0,100.0,60.0,100.0,78.0,70.0,75.0,92.0,84.0,95.0
50993,F,Scotland,Lower Than A Level,0-10%,0-35,0,60,Y,Fail,80.0,60.0,80.0,0.0,40.0,61.0,35.0,35.0,0.0,20.0,5.0
52899,F,East Midlands Region,Lower Than A Level,50-60%,35-55,0,60,N,Withdrawn,80.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0
58089,F,West Midlands Region,A Level or Equivalent,40-50%,0-35,2,90,N,Fail,100.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0
62631,F,North Western Region,A Level or Equivalent,20-30%,0-35,0,60,N,Fail,100.0,100.0,80.0,0.0,0.0,75.0,75.0,64.0,69.0,0.0,0.0
70608,F,South East Region,HE Qualification,70-80%,35-55,0,240,N,Distinction,80.0,100.0,100.0,100.0,80.0,81.0,78.0,50.0,86.0,87.0,84.0
71433,F,North Western Region,A Level or Equivalent,50-60%,0-35,1,150,N,Fail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72070,M,South East Region,A Level or Equivalent,60-70%,35-55,0,60,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74695,F,North Region,Lower Than A Level,40-50%,0-35,0,90,N,Distinction,100.0,100.0,100.0,80.0,80.0,90.0,91.0,92.0,90.0,95.0,0.0
74734,F,North Western Region,Lower Than A Level,0-10%,0-35,0,180,N,Pass,0.0,100.0,80.0,100.0,100.0,78.0,80.0,68.0,71.0,74.0,79.0
75399,F,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,80.0,80.0,100.0,80.0,80.0,65.0,60.0,50.0,0.0,64.0,70.0
78645,F,East Anglian Region,Lower Than A Level,40-50%,0-35,0,60,N,Fail,80.0,0.0,0.0,0.0,0.0,75.0,79.0,59.0,0.0,0.0,0.0
79378,F,London Region,Lower Than A Level,20-30%,35-55,4,120,Y,Fail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82535,F,Wales,Lower Than A Level,20-30%,0-35,0,180,N,Pass,80.0,80.0,60.0,100.0,60.0,73.0,65.0,54.0,57.0,60.0,64.0
82741,F,East Anglian Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,100.0,100.0,80.0,100.0,60.0,68.0,84.0,63.0,33.0,76.0,60.0
83254,F,London Region,HE Qualification,10-20,35-55,0,60,N,Pass,60.0,100.0,100.0,80.0,80.0,77.0,75.0,76.0,50.0,65.0,40.0
84245,M,Wales,A Level or Equivalent,50-60%,0-35,0,120,N,Distinction,100.0,60.0,100.0,100.0,0.0,82.0,77.0,90.0,77.0,89.0,96.0
84664,F,North Western Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,100.0,100.0,100.0,100.0,100.0,87.0,85.0,69.0,74.0,77.0,0.0
86291,F,Wales,HE Qualification,50-60%,35-55,0,60,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0
87604,F,West Midlands Region,A Level or Equivalent,30-40%,0-35,0,180,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87732,M,East Midlands Region,A Level or Equivalent,30-40%,35-55,0,75,N,Pass,100.0,100.0,80.0,80.0,60.0,81.0,75.0,74.0,0.0,65.0,71.0
88580,F,London Region,Lower Than A Level,10-20,0-35,0,60,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91322,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,0.0,100.0,100.0,80.0,100.0,78.0,74.0,69.0,70.0,77.0,74.0
92274,F,East Anglian Region,Lower Than A Level,60-70%,0-35,0,60,N,Withdrawn,100.0,80.0,0.0,0.0,0.0,67.0,45.0,40.0,0.0,0.0,0.0
92832,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,100.0,100.0,80.0,80.0,80.0,62.0,68.0,61.0,62.0,68.0,0.0
92947,F,Wales,HE Qualification,10-20,35-55,0,120,N,Distinction,100.0,80.0,100.0,0.0,40.0,70.0,85.0,80.0,80.0,90.0,90.0
92993,F,East Anglian Region,Lower Than A Level,10-20,0-35,3,135,N,Pass,100.0,100.0,80.0,100.0,60.0,63.0,65.0,0.0,71.0,68.0,60.0
94616,F,South Region,Lower Than A Level,80-90%,0-35,1,60,N,Fail,80.0,100.0,100.0,80.0,0.0,70.0,65.0,77.0,85.0,40.0,0.0
96291,F,South Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97154,F,North Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,100.0,100.0,100.0,100.0,80.0,85.0,75.0,77.0,0.0,92.0,98.0
98313,F,Scotland,HE Qualification,30-40%,35-55,0,60,N,Pass,80.0,80.0,80.0,80.0,100.0,74.0,73.0,73.0,82.0,88.0,78.0
102849,F,East Anglian Region,A Level or Equivalent,20-30%,35-55,0,180,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104054,F,South East Region,Lower Than A Level,90-100%,35-55,0,120,N,Distinction,100.0,100.0,100.0,100.0,100.0,87.0,90.0,97.0,85.0,87.0,95.0
108377,F,South Region,Lower Than A Level,30-40%,35-55,0,120,Y,Pass,80.0,100.0,80.0,60.0,80.0,87.0,83.0,77.0,72.0,67.0,0.0
108589,F,Ireland,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,100.0,100.0,100.0,100.0,100.0,73.0,92.0,73.0,71.0,83.0,84.0
109938,F,Wales,HE Qualification,60-70%,0-35,0,120,N,Distinction,80.0,100.0,80.0,100.0,100.0,87.0,81.0,85.0,90.0,93.0,92.0
110881,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,100.0,100.0,80.0,80.0,100.0,75.0,59.0,64.0,69.0,64.0,66.0
116603,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Distinction,100.0,100.0,100.0,100.0,100.0,83.0,76.0,79.0,85.0,0.0,81.0
117071,M,London Region,A Level or Equivalent,40-50%,35-55,0,60,N,Fail,100.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0
